,0,300,400,500,600
0,0,3.07E-06,4.68E-06,6.52E-06,8.58E-06
0.5,0,3.76E-06,5.70E-06,7.92E-06,1.04E-05
1,0,4.44E-06,6.72E-06,9.33E-06,1.23E-05
1.5,0,5.18E-06,7.79E-06,1.08E-05,1.43E-05
2,0,5.97E-06,8.94E-06,1.24E-05,1.63E-05
2.5,0,6.82E-06,1.02E-05,1.40E-05,1.84E-05
3,0,7.74E-06,1.15E-05,1.58E-05,2.07E-05
3.5,0,8.71E-06,1.29E-05,1.76E-05,2.30E-05
4,0,9.74E-06,1.43E-05,1.95E-05,2.55E-05
4.5,0,1.08E-05,1.58E-05,2.14E-05,2.80E-05
5,0,1.18E-05,1.73E-05,2.34E-05,3.06E-05
5.5,0,1.29E-05,1.88E-05,2.55E-05,3.32E-05
6,0,1.40E-05,2.04E-05,2.76E-05,3.59E-05
6.5,0,1.51E-05,2.20E-05,2.98E-05,3.87E-05
7,0,1.63E-05,2.37E-05,3.20E-05,4.16E-05
7.5,0,1.75E-05,2.54E-05,3.44E-05,4.45E-05
8,0,1.88E-05,2.72E-05,3.68E-05,4.76E-05
8.5,0,2.02E-05,2.91E-05,3.92E-05,5.07E-05
9,0,2.16E-05,3.11E-05,4.18E-05,5.39E-05
9.5,0,2.31E-05,3.31E-05,4.44E-05,5.72E-05
10,0,2.45E-05,3.52E-05,4.71E-05,6.06E-05
10.5,0,2.61E-05,3.73E-05,4.99E-05,6.42E-05
11,0,2.76E-05,3.95E-05,5.27E-05,6.78E-05
