,0,300,400,500,600
0,0,2.03E-06,2.42E-06,2.92E-06,3.53E-06
0.5,0,2.06E-06,2.46E-06,2.95E-06,3.58E-06
1,0,2.08E-06,2.48E-06,2.98E-06,3.60E-06
1.5,0,2.10E-06,2.50E-06,3.00E-06,3.62E-06
2,0,2.13E-06,2.53E-06,3.03E-06,3.65E-06
2.5,0,2.18E-06,2.57E-06,3.07E-06,3.69E-06
3,0,2.24E-06,2.64E-06,3.14E-06,3.79E-06
3.5,0,2.32E-06,2.73E-06,3.32E-06,4.26E-06
4,0,2.48E-06,3.05E-06,4.00E-06,5.60E-06
4.5,0,2.94E-06,3.87E-06,5.40E-06,7.80E-06
5,0,3.76E-06,5.19E-06,7.40E-06,1.07E-05
5.5,0,4.91E-06,6.93E-06,9.91E-06,1.41E-05
6,0,6.33E-06,9.04E-06,1.28E-05,1.80E-05
6.5,0,8.00E-06,1.15E-05,1.61E-05,2.23E-05
7,0,9.88E-06,1.42E-05,1.98E-05,2.70E-05
7.5,0,1.20E-05,1.71E-05,2.37E-05,3.20E-05
8,0,1.43E-05,2.03E-05,2.79E-05,3.73E-05
8.5,0,1.67E-05,2.37E-05,3.24E-05,4.30E-05
9,0,1.93E-05,2.74E-05,3.71E-05,4.89E-05
9.5,0,2.21E-05,3.12E-05,4.21E-05,5.52E-05
10,0,2.51E-05,3.52E-05,4.73E-05,6.17E-05
10.5,0,2.82E-05,3.95E-05,5.27E-05,6.84E-05
11,0,3.14E-05,4.39E-05,5.84E-05,7.55E-05
