,0,400,500,600,700,800
0.5,0.00E+00,2.63E-06,3.38E-06,4.24E-06,5.21E-06,6.30E-06
0.75,0.00E+00,2.64E-06,3.39E-06,4.25E-06,5.22E-06,6.31E-06
1,0.00E+00,2.64E-06,3.39E-06,4.25E-06,5.23E-06,6.31E-06
1.25,0.00E+00,2.65E-06,3.40E-06,4.26E-06,5.23E-06,6.32E-06
1.5,0.00E+00,2.66E-06,3.41E-06,4.27E-06,5.24E-06,6.33E-06
1.75,0.00E+00,2.67E-06,3.41E-06,4.28E-06,5.25E-06,6.34E-06
2,0.00E+00,2.68E-06,3.42E-06,4.29E-06,5.26E-06,6.35E-06
2.25,0.00E+00,2.69E-06,3.44E-06,4.30E-06,5.27E-06,6.36E-06
2.5,0.00E+00,2.70E-06,3.45E-06,4.31E-06,5.28E-06,6.40E-06
2.75,0.00E+00,2.72E-06,3.46E-06,4.32E-06,5.30E-06,6.47E-06
3,0.00E+00,2.73E-06,3.48E-06,4.34E-06,5.31E-06,6.55E-06
3.25,0.00E+00,2.75E-06,3.49E-06,4.36E-06,5.33E-06,6.64E-06
3.5,0.00E+00,2.77E-06,3.51E-06,4.37E-06,5.35E-06,6.75E-06
3.75,0.00E+00,2.79E-06,3.53E-06,4.39E-06,5.37E-06,6.87E-06
4,0.00E+00,2.81E-06,3.55E-06,4.42E-06,5.39E-06,7.00E-06
4.25,0.00E+00,2.83E-06,3.58E-06,4.44E-06,5.41E-06,7.15E-06
4.5,0.00E+00,2.85E-06,3.60E-06,4.46E-06,5.44E-06,7.32E-06
4.75,0.00E+00,2.88E-06,3.62E-06,4.49E-06,5.46E-06,7.49E-06
5,0.00E+00,2.90E-06,3.65E-06,4.51E-06,5.49E-06,7.69E-06
5.25,0.00E+00,2.93E-06,3.68E-06,4.54E-06,5.54E-06,7.95E-06
5.5,0.00E+00,2.96E-06,3.71E-06,4.58E-06,5.64E-06,8.30E-06
5.75,0.00E+00,2.99E-06,3.75E-06,4.67E-06,5.85E-06,8.78E-06
6,0.00E+00,3.03E-06,3.83E-06,4.84E-06,6.16E-06,9.36E-06
